Taxon	No	Yes
Unassigned;Other	0.064774379788	0.051761757631
k__Bacteria;Other	3.39262188876e-06	3.71574303495e-06
k__Bacteria;p__Actinobacteria	0.0438222255274	0.0387914101347
k__Bacteria;p__Bacteroidetes	0.257086983568	0.241902303061
k__Bacteria;p__Chlorobi	4.74967064427e-07	7.28577065676e-07
k__Bacteria;p__Chloroflexi	0.0	3.64288532838e-07
k__Bacteria;p__Cyanobacteria	0.000710143613756	0.00037485290029
k__Bacteria;p__Firmicutes	0.483618385948	0.525824559808
k__Bacteria;p__Fusobacteria	0.0454353493831	0.0374050008364
k__Bacteria;p__GN02	5.3128458778e-05	8.01434772244e-06
k__Bacteria;p__Proteobacteria	0.0755982685144	0.089013902999
k__Bacteria;p__SR1	0.0169198195885	0.00518105722944
k__Bacteria;p__Spirochaetes	0.00216693545279	0.00124003816578
k__Bacteria;p__Synergistetes	0.000161624506781	0.000127063840254
k__Bacteria;p__TM7	0.00894369767559	0.00702923867194
k__Bacteria;p__Tenericutes	0.000705190385798	0.00133599176533
