	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_39360_7.txt	39360	7	19.44498	18.25765	20.60749	23.2511	20.03003	23.82915	21.80282	23.7294	20.20488	21.99606	19.95733	28.50593	15.17674	21.67303	18.02827	25.324	21.14159	27.14898	23.79064	25.9456	23.01436	18.68938	26.39024	16.93805	17.11807	24.23641	17.46717	28.79364	23.89539	16.36117
alpha_rarefaction_39360_8.txt	39360	8	19.11918	18.70071	21.36565	24.05443	20.2309	23.2607	21.31655	21.68494	19.75265	22.98201	20.57907	28.77765	15.1448	21.21088	17.08022	26.65772	20.92666	26.90031	24.36454	25.64646	22.9267	18.68829	26.96064	16.90905	17.4309	23.83757	17.62271	29.3675	24.31432	15.74618
alpha_rarefaction_39360_9.txt	39360	9	18.47693	18.49276	21.3089	23.67639	20.22687	23.20722	20.93451	22.75793	18.78668	23.22943	20.06402	28.53475	15.11741	22.03352	18.10903	26.03528	20.90012	26.97695	24.11995	26.34864	23.4915	18.43905	27.20526	16.97453	15.85436	23.61094	17.09146	29.36605	24.72231	16.60416
alpha_rarefaction_78710_0.txt	78710	0	21.8771	20.0297	22.66008	26.90033	22.59	25.2479	23.56951	25.15908	21.92797	24.39462	22.32928	30.66471	16.16567	24.42926	19.68868	27.06691	23.82073	29.94535	25.62248	27.79626	25.31211	20.36108	28.69527	18.47493	18.23332	26.5687	20.47712	31.23553	26.07378	17.87535
alpha_rarefaction_78710_1.txt	78710	1	22.29492	19.55402	22.8552	26.33837	22.28492	24.82795	23.4981	24.85836	21.73655	23.6758	21.55136	30.384	15.96989	24.12091	19.51711	27.97233	22.86144	30.53949	26.51681	26.81392	24.63139	19.37109	28.707	18.44483	18.64002	25.85852	20.90264	31.31663	26.17036	17.43505
alpha_rarefaction_78710_2.txt	78710	2	21.61447	20.75207	22.24265	26.81502	22.15294	24.79202	23.24615	24.07489	21.74924	24.22874	22.00554	29.69564	16.19879	24.25165	19.02913	27.704	22.80692	29.90285	25.38222	26.85519	25.63004	20.7024	28.28576	19.04839	17.84018	25.86104	19.93111	30.35391	26.98244	17.86632
alpha_rarefaction_78710_3.txt	78710	3	22.55497	20.98422	22.10364	26.34504	22.25222	25.4831	23.35705	23.86871	22.33642	25.01332	21.62715	30.97059	15.75162	23.54465	20.11591	27.73706	23.42142	28.92877	26.14213	27.88867	25.66787	19.97032	29.01884	19.35722	18.95705	25.70281	19.74055	30.89089	26.68379	18.45557
alpha_rarefaction_78710_4.txt	78710	4	22.52591	19.80738	22.93048	26.43538	22.30472	24.61598	23.65736	24.14632	21.92629	24.20984	21.30053	30.60423	16.63019	24.17219	20.05488	27.6663	23.84321	30.32165	26.37693	27.5572	25.75261	19.48899	28.76131	18.9715	18.28235	25.04838	20.74675	30.91832	25.52698	18.02402
alpha_rarefaction_78710_5.txt	78710	5	22.36612	21.09057	23.26818	26.00771	22.54927	24.51269	22.37854	24.8724	22.14879	24.8695	21.96443	30.77406	16.25278	24.48003	19.85542	27.41304	24.27054	30.51259	26.67205	27.55792	25.57808	19.87292	29.07916	18.52356	17.94843	25.41946	21.7382	31.80836	26.60225	17.80887
alpha_rarefaction_78710_6.txt	78710	6	22.62637	21.32601	23.69957	26.08492	22.67679	24.75852	23.77314	24.01361	21.25605	25.65507	21.09804	29.7601	15.7956	24.08262	19.67077	27.98372	23.10492	29.85477	25.64487	27.64345	25.11076	19.95519	29.20388	18.6865	18.53561	25.34609	21.49003	31.36435	25.96293	16.71861
alpha_rarefaction_78710_7.txt	78710	7	23.02385	20.94089	23.69019	26.93297	22.99726	25.43658	23.398	23.76487	22.18282	25.42112	21.74992	30.72996	15.921	23.98993	20.48204	27.0577	22.97526	30.00603	26.37849	28.14444	26.41631	19.95016	29.69011	19.37512	18.4301	25.86088	19.46865	31.33909	25.59463	16.85239
alpha_rarefaction_78710_8.txt	78710	8	22.71343	20.97139	23.56659	26.81258	21.80745	24.94335	23.22297	24.44755	21.73006	24.77373	21.77978	30.59193	15.41546	24.36622	19.09651	27.84289	23.37754	29.97756	26.31193	26.9907	25.69576	20.46643	28.93588	18.01166	17.5188	25.61667	20.09335	31.05657	26.58387	18.1729
