Taxon	1	2	3	4	5	6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	2.28260628899e-07	4.8262631451e-06	1.95577153068e-06	4.4498478311e-05	0.000213076773239	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.458171125624	0.339886479396	0.198857959811	0.44265867813	0.344249519277	0.306156237754
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	2.23695416321e-05	1.20656578628e-05	0.000120605911059	0.000235206242501	6.86207876022e-05	3.90844186057e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	0.00336250732431	0.00176399917954	0.00438679554332	0.00396460251999	0.00196315852258	0.00340952076045
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	9.13042515596e-07	3.44733081793e-07	9.77885765341e-07	0.0	1.00666192081e-06	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	1.02717283005e-06	3.44733081793e-07	4.23750498314e-06	5.29743789416e-07	3.35553973605e-06	2.63394994951e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	1.1413031445e-07	8.61832704483e-06	3.71596590829e-05	1.58923136825e-06	1.50999288122e-06	6.62735793748e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.015562695548	0.0103406135215	0.0116013107581	0.00798535788166	0.010259562743	0.0247217444294
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	1.02717283005e-06	2.41313157255e-06	3.2596192178e-06	1.58923136825e-06	6.37552549849e-06	1.52939029327e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	0.000740477480149	0.0041068052034	0.00560458928309	0.00297768984031	0.00583427693907	0.00779054422164
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.0	3.44733081793e-07	5.28058313284e-05	0.0	1.1912166063e-05	3.16073993942e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	0.0781769827917	0.0749939240794	0.0962819805316	0.0485510183	0.0635250649591	0.0752912044085
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae]	0.0	0.0	3.2596192178e-07	0.0	0.0	1.52939029327e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	0.00191727515244	0.0012762018688	0.00603942248674	0.00634103315931	0.00330419997809	0.00410743253095
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	0.0011444987933	0.00295608617638	0.00744268856001	0.0084589488294	0.00978995495691	0.00681445335003
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	0.00775184508773	0.00516134370061	0.00679402433567	0.0119526091206	0.00691794849683	0.00397284618514
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	0.0125424650367	0.0194663876627	0.0262275481503	0.0100370555781	0.0325661842463	0.044096400529
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	0.0119594873905	0.0197187322786	0.0111817977647	0.0218476933631	0.0161096107188	0.0221073366892
k__Bacteria;p__GN02;c__BD1-5;o__;f__	4.34836498053e-05	2.75786465434e-06	1.85798295415e-05	2.11897515766e-06	1.24154970234e-05	6.27050020239e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other;Other	0.0	6.89466163586e-07	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__	0.0	0.0	5.21539074848e-06	0.0	2.85220877564e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;Other	2.28260628899e-07	1.03419924538e-06	0.0	5.29743789416e-07	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__	5.70651572248e-07	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	3.42390943349e-07	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	4.56521257798e-07	6.89466163586e-07	0.0	0.0	3.35553973605e-07	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__	0.0	0.0	9.77885765341e-07	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	4.56521257798e-07	1.72366540897e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	0.0	0.0	0.0	0.0	2.01332384163e-06	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.000850270842649	0.000941466046377	9.84405003776e-05	0.000251628299973	0.000260389883517	0.000297211513658
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	4.65651682954e-05	1.27551240263e-05	7.49712420095e-06	4.23795031533e-06	8.89218030053e-06	4.38425217403e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	3.42390943349e-07	1.03419924538e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae	0.104772884098	0.0561518480279	0.0922286440343	0.0158896649635	0.020798306392	0.0633131895638
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	1.48369408784e-06	1.37893232717e-06	5.86731459204e-06	1.58923136825e-06	1.34221589442e-06	1.69932254807e-06
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	4.56521257798e-07	1.72366540897e-06	1.30384768712e-06	3.1784627365e-06	6.20774851169e-06	8.49661274036e-07
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfomicrobiaceae	1.82608503119e-06	5.1709962269e-06	2.9662534882e-05	0.0	3.18776274925e-06	1.15553933269e-05
