pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
FN33	0.0672199840087	-0.0652625072951	0.0797998903931	-0.120884030007	0.0204188178132	-0.021818683063	0.0528156854675	0.0192291074253	-0.019436387196	-0.0559044998266	0.0231112964443	0.00820093793615	0.0294558925201	-0.092970096556	-0.00354980651871	-0.0337695362801	0.0360836094587	0.0248472245982	0.0107448489682	-0.0333803950002	-0.0122611121043	-0.00669108569486	-0.0140364534084	-0.00391320678917	-0.00113505734465	0.00797149956014	0.0285538191024	-0.0115020882858	-0.00697479560905	3.07609748969e-09
FN47	0.0590178290808	0.0783170345729	0.0988372091792	0.00349456827935	-0.0987348500558	-0.0291940307942	-0.0452765323876	-0.112459567616	-0.0220357182809	-0.0238639786192	0.0137436138879	0.0487982605154	-0.0503500284114	-0.0512266512041	-0.0292079894104	0.0459302890081	-0.0462266293118	-0.00195647282621	-0.0152178138076	0.0171031363759	-0.0122460869041	-0.00434801705329	-0.00581490065986	-0.0209371879944	0.0156736038915	0.0085334050504	-0.007692101674	-0.00235444540706	-0.00232024916366	3.07609748969e-09
FN46	0.0128159711912	-0.00629492125989	-0.0465997660349	0.0975914230858	-0.00688445865766	-0.00720358340108	-0.0599367303044	0.0750781180101	-0.0598231809231	-0.0783993401792	0.0583551308147	0.00297518119595	0.01068787471	-0.0599388753285	0.0343929738244	0.0156581704874	0.00609681553572	-0.0513208460383	0.00499630288138	-0.00184384688746	-0.0132392860201	0.013411718256	0.01843976384	0.00941024267678	0.00953016134781	-0.0126296393618	0.00499734763193	0.0166468227615	0.0199659179906	3.07609748969e-09
FN55	-0.122139769801	0.0205276218267	0.000249755492796	-0.0205301535653	0.0213071074813	0.0405795171087	-0.0146466078219	-0.0156501927648	0.00258316602435	-0.0368136823936	0.0221520842585	0.0789662417842	0.0120677130849	0.0527096161692	-0.0522438669216	-0.0228964031265	0.0239941810849	0.0213123954811	-0.0026569910602	0.0149988609582	0.0364942353364	-0.0223167653216	0.0162435649893	0.0221102529469	0.0466168784615	-0.00454941423382	0.0270513750826	0.0151615625842	0.00500570003172	3.07609748969e-09
FN57	0.0257819606994	-0.00413258371568	0.0543749336759	0.0285941446193	0.0950744236432	0.00174998567588	-0.010392581637	-0.0366882201802	0.042066118783	0.0334771642052	-0.0321710128919	0.0286699651096	0.00232566902086	0.0154437362545	0.0488661113029	-0.0333181718784	0.000261472516957	0.00108165295008	-0.0160514368442	-0.0348758943304	-0.0213283286452	0.0440533362234	0.0240083638308	-0.029095851372	0.0174908318172	0.0465823996559	0.000525829046973	0.0174257068456	0.0080381657394	3.07609748969e-09
FN32	0.0211524757199	-0.0112047767801	0.0830353289112	-0.0315924917926	0.0561067349483	-0.0562787986477	-0.00380914785626	-0.00229154247409	0.00371231409946	-0.0383765850676	0.0344359147938	-0.017519192127	-0.061614166489	0.0718862866667	-0.00292967004206	-0.0128928296223	0.0342522421908	-0.0552339658102	-0.0159886415848	-0.00575181625257	0.00494231591311	0.0138542426242	-0.010574953163	-0.00721765546826	0.00589608362243	-0.0203000796566	-0.00557737942179	-0.0411190864149	0.0106922442939	3.07609748969e-09
FN31	0.0370862984152	0.0225216575397	0.0187296323904	-0.00309177068148	-0.0467836137886	-0.0362092665071	0.0512025762004	0.025597739347	0.0230177646696	-0.0797973149511	0.0352068782008	-0.0688177626102	-0.0472736915224	0.0377885433227	0.0134818822811	0.0118317351769	0.0220013356779	0.0215425551713	-0.00186079788802	-0.0251252045556	0.00014967902499	-0.0210292394677	0.0363664740802	-0.00203262497631	0.00732584328699	0.00493412787243	-0.0216945333843	0.0276734381668	-0.023077082896	3.07609748969e-09
FN34	0.0135161951213	0.0680137777972	0.0484899494431	0.0387856760808	-0.0650007449956	-0.0697670388376	0.022119654604	0.0255427915015	-0.0583914946342	0.0910325441636	-0.00335734345086	-0.020772760265	0.0216261126805	-0.00825220950049	-0.0142551796839	-0.0422313090175	0.054491164536	-0.00252221861629	-0.0248990165077	0.0352952268751	0.0395813858618	0.00892838997144	0.0162597286254	-0.0371164131652	-0.0192311714095	-0.0114039942382	0.0152052745646	0.0106009588361	-0.000288708844452	3.07609748969e-09
FN36	-0.00464140869481	0.0795119096825	0.0427748454427	-0.0428515259211	-0.150282000562	0.0906279125928	-0.00100238332095	0.0545265981773	0.0982495335927	0.024470771399	0.0317090635809	-0.00968676603317	0.00544765394148	0.0123704911709	0.0346479806102	-0.00867663378366	0.00170768733068	-0.0131490476666	-0.0120015003608	-0.0108963415297	0.00710302957788	-0.00539647342674	-0.0157839704599	0.0223294459907	-0.0134467605919	0.0276307987645	0.00718683584347	-0.00588097972022	0.0160522114574	3.07609748969e-09
FN37	-0.00990826536295	0.0195327923154	0.0610588209236	0.0200421157092	0.0245280195364	-0.0570011672977	-0.0256735076849	-0.0400360020438	-0.0566296195101	0.028747573943	0.00157111730651	-0.0616278471682	0.0914711496079	0.0255960084775	-0.0477716856445	0.0501777540803	0.0110884348968	0.0129859447064	-0.0269473757665	-0.0271639773519	-0.0219299894546	-0.00828815660179	-0.00193978081892	0.0432112732489	-0.00434887214567	0.0187745279282	-0.00783387987377	-0.00184176545133	0.00854382723278	3.07609748969e-09
