Taxon	F	M
Unassigned;Other	0.0688626495207	0.0549409892536
k__Bacteria;Other	5.36045853637e-06	2.92621902155e-06
k__Bacteria;p__Actinobacteria	0.0474300243681	0.0393244190948
k__Bacteria;p__Bacteroidetes	0.234054250864	0.255159407905
k__Bacteria;p__Chlorobi	0.0	8.02350376876e-07
k__Bacteria;p__Chloroflexi	0.0	2.35985404963e-07
k__Bacteria;p__Cyanobacteria	0.000476943362082	0.000573019760332
k__Bacteria;p__Firmicutes	0.535291540908	0.493215820782
k__Bacteria;p__Fusobacteria	0.0220610358303	0.0482596288771
k__Bacteria;p__GN02	5.58037478402e-05	2.29849784434e-05
k__Bacteria;p__Proteobacteria	0.0807436247998	0.0825220666412
k__Bacteria;p__SR1	0.00138258595942	0.0146506818963
k__Bacteria;p__Spirochaetes	0.000908941341052	0.00199846600047
k__Bacteria;p__Synergistetes	9.15401380827e-05	0.000163301900235
k__Bacteria;p__TM7	0.0082949659659	0.00792627778191
k__Bacteria;p__Tenericutes	0.000340732736197	0.00123897057314
