"","FIND_1stBacth","FIND_2ndBatch"
"Class",0.269353692292413,0.600360136330955
"Family",0.898103235785875,0.584053259081604
"Genus",0.325854392509363,0.361246398694111
"Order",0.0963792723024802,0.611874113821977
"Phylum",0.728867169594745,0.169363730760662
