	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
FN33	0.0	0.344745559639	0.322718564082	0.330253351572	0.280930662706	0.283438066885	0.289561417383	0.313816781813	0.337030819554	0.312620984588	0.345699512527	0.348826619201	0.349455464975	0.277587255958	0.332750355162	0.311887476799	0.298947755054	0.313166242366	0.297844858221	0.343706915404	0.383759386308	0.320752975336	0.335605840695	0.329153562924	0.366690648735	0.32186285634	0.339610904422	0.357241971855	0.343527776986	0.399376000082
FN47	0.344745559639	0.0	0.335760313849	0.340490576843	0.304674114759	0.300198712323	0.282061573466	0.282237741351	0.306716979366	0.297388894233	0.34372521767	0.371003385811	0.404933311969	0.297986489137	0.3417697356	0.343270754615	0.31610290154	0.381229342522	0.359692789585	0.340684418644	0.357746941258	0.312675263369	0.339996087899	0.316588720632	0.333230220367	0.345346327445	0.350832668608	0.405834408676	0.338099203724	0.408986246271
FN46	0.322718564082	0.335760313849	0.0	0.318026333683	0.279860399519	0.293429750295	0.249324305973	0.267732478631	0.323581527939	0.282548498354	0.351676111397	0.315712188731	0.390136911839	0.295106477117	0.293044447518	0.284132707257	0.255475749061	0.314072422241	0.322478144982	0.297671098828	0.299647473901	0.315053198887	0.275520795514	0.315374817484	0.361326942729	0.317716523532	0.354149652991	0.286818879346	0.290516786959	0.42424993514
FN55	0.330253351572	0.340490576843	0.318026333683	0.0	0.276471263181	0.275779835825	0.308330210133	0.321390172043	0.325034381319	0.285973884311	0.336602786978	0.214685476134	0.420785245675	0.304227829615	0.375936201505	0.275229230022	0.298737449752	0.245465110013	0.258455537585	0.27552019031	0.222647319606	0.38426775129	0.254555459431	0.378242012052	0.406948616864	0.217584018944	0.339056386346	0.246725335258	0.270365040084	0.43861160557
FN57	0.280930662706	0.304674114759	0.279860399519	0.276471263181	0.0	0.219847843317	0.249975230229	0.243355842368	0.316650731998	0.256618545077	0.29472970382	0.296962912632	0.346818391139	0.238746193859	0.290276538984	0.258449919911	0.212015951981	0.303459802629	0.270427665022	0.281552820353	0.310644966364	0.268120776583	0.249814938368	0.269127399988	0.327863623391	0.257797039996	0.295223469709	0.310168739255	0.266675957729	0.378395205234
FN32	0.283438066885	0.300198712323	0.293429750295	0.275779835825	0.219847843317	0.0	0.234724662954	0.274175025385	0.300783829076	0.261884301079	0.308523679644	0.307058581967	0.361232252798	0.253375926512	0.309044488083	0.277940437838	0.269040540608	0.308531090257	0.283565637673	0.31844969247	0.323865799661	0.27975072557	0.26862019206	0.275544593399	0.344952818682	0.255288461538	0.338805897529	0.325064341704	0.269790167199	0.385686838644
FN31	0.289561417383	0.282061573466	0.249324305973	0.308330210133	0.249975230229	0.234724662954	0.0	0.247518654966	0.244668688272	0.260525892847	0.315783964598	0.318213055274	0.366343595078	0.257612877225	0.24343143065	0.271068823347	0.233854907909	0.305866320904	0.305179073208	0.291243959914	0.328330972514	0.278211878879	0.304025179189	0.261245841133	0.285313515683	0.315880719287	0.285971142191	0.347732924073	0.294975477246	0.372751574858
FN34	0.313816781813	0.282237741351	0.267732478631	0.321390172043	0.243355842368	0.274175025385	0.247518654966	0.0	0.266534387066	0.261823278833	0.310727275848	0.322426780521	0.398964746661	0.271786381945	0.276203462876	0.285255016721	0.241195165357	0.318749671502	0.331491389118	0.271658123903	0.305467413527	0.29280159196	0.262976484531	0.271712983021	0.334400218913	0.295207190395	0.323642184092	0.312119353657	0.295216883401	0.398365576638
FN36	0.337030819554	0.306716979366	0.323581527939	0.325034381319	0.316650731998	0.300783829076	0.244668688272	0.266534387066	0.0	0.324984369493	0.347114195081	0.327635358284	0.403491982956	0.28192574179	0.334011311578	0.300269515425	0.297299872234	0.328699926205	0.318006663913	0.292008318716	0.320179370606	0.330376534207	0.313044375299	0.345301417109	0.378304578493	0.335831559403	0.3122272434	0.368590604376	0.322315583555	0.410553295263
FN37	0.312620984588	0.297388894233	0.282548498354	0.285973884311	0.256618545077	0.261884301079	0.260525892847	0.261823278833	0.324984369493	0.0	0.333377579747	0.284214325428	0.397781791149	0.28425918786	0.336723987158	0.283679773825	0.267742061842	0.301154145347	0.294896482769	0.269892869898	0.302728839509	0.293661567387	0.265690072472	0.324885663822	0.35665261325	0.260298007123	0.341747324449	0.299625242322	0.289077802154	0.413573099662
FN39	0.345699512527	0.34372521767	0.351676111397	0.336602786978	0.29472970382	0.308523679644	0.315783964598	0.310727275848	0.347114195081	0.333377579747	0.0	0.389657140026	0.385728608942	0.334478337172	0.361542908795	0.363631121204	0.328401059585	0.378840267423	0.37260969812	0.382408558856	0.354136583839	0.320114729548	0.358326940695	0.323476770153	0.383389472882	0.342408095959	0.38076406188	0.411902892201	0.361463468475	0.421865114765
FN59	0.348826619201	0.371003385811	0.315712188731	0.214685476134	0.296962912632	0.307058581967	0.318213055274	0.322426780521	0.327635358284	0.284214325428	0.389657140026	0.0	0.433264524387	0.293796835981	0.384717572074	0.285106631227	0.273271559376	0.196847986937	0.277252347775	0.223162298426	0.282349168145	0.39183679437	0.189132959805	0.393668963868	0.438275558063	0.244540820694	0.362380690236	0.220459289981	0.230283543495	0.468594447717
FN35	0.349455464975	0.404933311969	0.390136911839	0.420785245675	0.346818391139	0.361232252798	0.366343595078	0.398964746661	0.403491982956	0.397781791149	0.385728608942	0.433264524387	0.0	0.365129511098	0.350920208401	0.397668160023	0.392433085923	0.442253068903	0.383823984478	0.392400673765	0.47144143675	0.334285046606	0.416644032731	0.316462737848	0.333170638583	0.414556451908	0.394949854786	0.444309051116	0.410881557052	0.446107937028
